"Title","Poster","IMDB"
"Carmencita","http://ia.media-imdb.com/images/M/MV5BMjAzNDEwMzk3OV5BMl5BanBnXkFtZTcwOTk4OTM5Ng@@._V1_SX300.jpg","5.9"
"Pauvre Pierrot","http://ia.media-imdb.com/images/M/MV5BNGRkODFmNjYtYjU2Yy00YTI1LWFlYzgtNGE0YTdmNjI0ZDk0XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","6.6"
"Un bon bock","http://ia.media-imdb.com/images/M/MV5BOGI5NjI1NjMtMjg4Mi00YTQyLThkYjgtNTI1YjlhNzZkOTZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","6.5"
"Blacksmith Scene","https://images-na.ssl-images-amazon.com/images/M/MV5BNDg0ZDg0YWYtYzMwYi00ZjVlLWI5YzUtNzBkNjlhZWM5ODk5XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","6.2"
"Corbett and Courtney Before the Kinetograph","https://images-na.ssl-images-amazon.com/images/M/MV5BZWEwNDBmYTYtZWZkYi00YjI4LWIyNWMtOGI1MWE2ZDZmMGIzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.5"
"Edison Kinetoscopic Record of a Sneeze","https://images-na.ssl-images-amazon.com/images/M/MV5BNzFkN2JkNjEtZDZhNi00NmVmLTg4YWUtOGMzZWQ4NzFmZWI0XkEyXkFqcGdeQXVyMDEyNzY3OA@@._V1_SX300.jpg","5.7"
"Employees Leaving the Lumière Factory","http://ia.media-imdb.com/images/M/MV5BZmU4MDM3MWUtNjRmZi00MTBhLWE3MzItYmZiZjgwYzhlMmUwXkEyXkFqcGdeQXVyNTc0ODYyODk@._V1_SX300.jpg","6.9"
"The Arrival of a Train","https://images-na.ssl-images-amazon.com/images/M/MV5BZjE2MGVkMTAtMWIwYy00YzQ5LWE2YTAtMTU2NGJmNGNjY2IyXkEyXkFqcGdeQXVyNjMxMzM3NDI@._V1_SX300.jpg","7.4"
"The Photographical Congress Arrives in Lyon","https://images-na.ssl-images-amazon.com/images/M/MV5BOWFmNDcxOWEtNzI1OC00OGRhLWIzYjYtMmM3YmMxY2VmOTI1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.7"
"Tables Turned on the Gardener","http://ia.media-imdb.com/images/M/MV5BMDMxMGI2ODctMjI2OS00YmQ5LWJjNmMtMTlhNDdmODIzMzg4XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","7.1"
"Autour d'une cabine","http://ia.media-imdb.com/images/M/MV5BMGFjNWM4N2ItM2QyNy00YWRmLTgzMzItMjc0N2RjMjdlODdhXkEyXkFqcGdeQXVyMzQ5MjE2ODI@._V1_SX300.jpg","6.3"
"Barque sortant du port","https://images-na.ssl-images-amazon.com/images/M/MV5BOTU5YzI1MWEtMmZmZS00N2U2LThiODktODM1NDQwZTZkNDE1XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.9"
"Italienischer Bauerntanz","http://ia.media-imdb.com/images/M/MV5BMmQ5NTVhODgtZTVmZS00ZjhjLWE0YWYtMTk5M2U0ZGFhNjZmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","5.2"
"Blacksmith Scene","https://images-na.ssl-images-amazon.com/images/M/MV5BNTU3ZjQ4ZmUtNDlmOC00YWM1LTg0MDUtMTBkOGYwMGYwZjdlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.1"
"Cordeliers' Square in Lyon","http://ia.media-imdb.com/images/M/MV5BNmZlNjdmMDUtNzY4ZC00Nzc3LTg0NDQtNmU2YjM3NTc4NmJjXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.6"
"Fishing for Goldfish","http://ia.media-imdb.com/images/M/MV5BYTdiZDEyNzYtYmE0Zi00YjY2LWEwZjktZGE0NzRjMGMxYzFiXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.1"
"Baby's Dinner","https://images-na.ssl-images-amazon.com/images/M/MV5BMGZkMWRlOTQtMmJiMi00YzA2LThmYWEtNTdkNWUwNDc5NjI2XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","5.9"
"Jumping the Blanket","https://images-na.ssl-images-amazon.com/images/M/MV5BOGFiZDkxODAtMzZlYy00YzE4LTk2MzAtZmE1MzYyODliYjUyXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.6"
"Trick Riding","http://ia.media-imdb.com/images/M/MV5BY2Q4YzE4ZDYtZTQxMC00N2QzLWE3YTgtYjI0NzIyNjdhZTVkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","5.7"
"Arrivée d'un train gare de Vincennes","http://ia.media-imdb.com/images/M/MV5BMmY0MThkYmItNjE4Yy00MjdmLTlkZmQtY2VlNDljMmE5ZDY4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.0"
"Watering the Flowers","http://ia.media-imdb.com/images/M/MV5BYWY1Mjc5YjktZWM3NC00NzM4LWI4MjctZGVjYjUyYjA0ZTU4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.4"
"Sea Bathing","http://ia.media-imdb.com/images/M/MV5BMzY5MDE4ZGUtMzE2Mi00YWMxLTk3YTctNzY4MTdmNDc5ZWFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.1"
"The Ball Game","http://ia.media-imdb.com/images/M/MV5BMTU1Y2QxMWMtOGE2Ny00MWE5LWI2YTctOWU2MTQxNThhMzUzXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg","4.7"
"Barque sortant du port de Trouville","http://ia.media-imdb.com/images/M/MV5BZTA1MTFhMTYtMmE3Mi00ZjQzLTkxOGQtNTEzZTk4NDZkOTIzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.8"
"Bataille de neige","http://ia.media-imdb.com/images/M/MV5BZmNlZGU4MDMtNmQzNS00ZGNlLWEzZjctZTUwNjRhZDc5NDllXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","6.8"
"Bateau-mouche sur la Seine","http://ia.media-imdb.com/images/M/MV5BYjgwMjI3YzktNGZlNC00NmFlLWE0MzUtOGFjN2I3MmNiMjUzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.1"
"Le bivouac","http://ia.media-imdb.com/images/M/MV5BZjViODAyMjktNTRkOC00NDk1LTllZWUtOWM4ZjY3ZDBhODNkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.1"
"Les blanchisseuses","http://ia.media-imdb.com/images/M/MV5BNzBjZjI4YjYtNGIyOC00ZDQyLTg0OTctN2U2YmUyMjJiZTQzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.8"
"Bois de Boulogne","http://ia.media-imdb.com/images/M/MV5BZWM2N2MzMGMtNzNkNi00OTc2LTg5NDQtNWViNTA2MGIwNmFhXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.2"
"Boulevard des Italiens","http://ia.media-imdb.com/images/M/MV5BYTU4MDhhNDAtNDNhOS00ZjRiLTk4OTQtOWQwNTkwN2I2MGNlXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.9"
"Bébé et fillettes","http://ia.media-imdb.com/images/M/MV5BYjBjMDRjYmEtODFiNy00NjJhLTk0ZjktMDQ3NmVkNDRmMzc2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.3"
"A Merry-Go-Round","http://ia.media-imdb.com/images/M/MV5BZTdmZTMyMjEtODI3YS00ZWJlLWEwMWItYzFlYTc4OTc5MWZiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.7"
"Le chiffonnier","http://ia.media-imdb.com/images/M/MV5BNGYzOWFiZDQtNDllNS00NWZmLTljMjEtNDgxMzJkYzczYzY3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.3"
"The Czar and His Cortege Going to Versailles","http://ia.media-imdb.com/images/M/MV5BOGQ2YTdhMjYtZTI5OS00MDljLWE0NDYtMmNjZjNiNjQ3N2I5XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.4"
"Dessinateur: Reine Victoria","http://ia.media-imdb.com/images/M/MV5BMTViMjU5NGUtNDM3Yy00ZGQ3LTk3YTktMWJmYWFmMjVjNTViXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.7"
"Post No Bills","http://ia.media-imdb.com/images/M/MV5BNTEwOWVlODYtMjM3NC00Yjc5LTg2ODgtNDkyYjhiNTI4MmNkXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.9"
"Démolition d'un mur","http://ia.media-imdb.com/images/M/MV5BYjBmMjEwZTQtYzcyNy00NzJiLWI4YTQtYzUyZGEwOTUwMjdkXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","6.4"
"Automobiles Starting a Race","http://ia.media-imdb.com/images/M/MV5BMGEwNGFmZmQtYTQxYS00N2M0LWI1MmQtMTg1OGY3ZmQ1NDM0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.0"
"Children Playing on the Beach","http://ia.media-imdb.com/images/M/MV5BNTYyNzdiYWQtYjNjNi00NmU0LWI5MDktY2NjMjA4NDQyNjk0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.2"
"The Conjuring of a Woman at the House of Robert Houdin","https://images-na.ssl-images-amazon.com/images/M/MV5BNTI1NThkYWEtMmRlNy00NWViLTgzZmYtMGZjODMzNTEyOTA4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.3"
"Le fakir, mystère indien","http://ia.media-imdb.com/images/M/MV5BOGY0ZWRhYWYtYzMxYy00MmUyLTkxNmQtZjZhYWRhNDdlNzQ4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.6"
"Feira de Gado na Corujeira","http://ia.media-imdb.com/images/M/MV5BMDEzMDU1NTMtOWEwYi00MGMxLTkzYzItYzdiYTcwNTdkNzhlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","5.1"
"La gare Saint-Lazare","http://ia.media-imdb.com/images/M/MV5BOTUyYjgzNWYtOGY0OC00N2M5LWE3YTQtMjZlZGM4ZTg5M2I4XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.4"
"Manoeuvres of the French Army","http://ia.media-imdb.com/images/M/MV5BZmFlZWZkZTUtMGZkZS00NjlkLWIxNGMtZWI2OWZhZmI3OTY0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.6"
"Gardener Burning Weeds","http://ia.media-imdb.com/images/M/MV5BNWQwODg2MjgtZTNiNy00MTY3LTg1NzItODdkZGE5Njk4Mzg2XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.2"
"Market Day","https://images-na.ssl-images-amazon.com/images/M/MV5BNzk2YWYyYTMtMTNjNC00ZDExLWI4NzItNmI5MDM1Y2UyNTVmXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.8"
"The House of the Devil","http://ia.media-imdb.com/images/M/MV5BNWEzMzgyZjYtNWQzYy00NTg0LTg0ZTEtMjUyYjcwNzEyNzMwXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg","6.8"
"Miss de Vere","http://ia.media-imdb.com/images/M/MV5BMTg1NmIzNTItMDg2MC00YTEwLThhZDAtZmY5NGVmOGMxZmU0XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","3.1"
"The Mysterious Paper","http://ia.media-imdb.com/images/M/MV5BYTNkY2UwZDMtZThhYy00Y2NkLWI4MjEtM2ZmNjkxYjAwMDQ3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.0"
"Place de l'Opéra, Second View","http://ia.media-imdb.com/images/M/MV5BMjUxMDllMjItYTYyYi00MTc4LWI4ZjAtOTMxOWFkMGQwYzAxXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.0"
"Place de la Bastille","http://ia.media-imdb.com/images/M/MV5BYTc4MWM2MGQtMGQyZS00ZDZmLWEyMTEtYzU1Y2UyMDdiMWJiXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.4"
"Place de la Concorde","http://ia.media-imdb.com/images/M/MV5BZWI3NDRiOWUtMmZmYS00ODA0LThiNTItOWIzMjAxZGMwMTI3XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","4.9"
"Saída do Pessoal Operário da Fábrica Confiança","http://ia.media-imdb.com/images/M/MV5BMjlkYjFlYjktMzZiMS00YzBjLWE1ZGEtNjc0N2U1YTFjM2VkXkEyXkFqcGdeQXVyMjUyMTE3MTc@._V1_SX300.jpg","5.8"
"The Soldier's Courtship","http://ia.media-imdb.com/images/M/MV5BMTczNTkxNzgtZjllOC00NGE4LWFjMTQtNGQyZDI5ZDRhOTY3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","4.1"
"Conjuring","https://images-na.ssl-images-amazon.com/images/M/MV5BNDljODAyZTUtMjg2NC00YjVlLWI1YTYtZjM4ODdhODVmNmU1XkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","5.9"
"Academy for Young Ladies","http://ia.media-imdb.com/images/M/MV5BYWYyYTExMzItMGYwNi00ZDkwLWE4MTAtNjk1YTM1YjFkN2IzXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","6.1"
"Un petit diable","http://ia.media-imdb.com/images/M/MV5BZDMyMzNkY2EtMGIwMC00ODQ2LWI0ZGMtMzU0Njk0YmY1NDljXkEyXkFqcGdeQXVyNTI2NTY2MDI@._V1_SX300.jpg","7.1"
